Latitude,Longitude,point
50.06187, 19.93680, RPT001
50.06201, 19.93632, RPT002
50.06140, 19.93577, RPT003
50.06063, 19.93764, RPT004
50.05464, 19.93850, RPT005
50.05456, 19.93836, RPT006
50.05451, 19.93831, RPT007
50.05407, 19.93892, RPT008
50.05249, 19.93494, RPT009
50.05045, 19.93565, RPT010
50.05038, 19.93519, RPT011
50.04961, 19.93576, RPT012
50.04979, 19.93565, RPT013
50.04992, 19.93565, RPT014
50.04918, 19.93332, RPT015
50.04875, 19.93298, RPT016
50.04842, 19.93198, RPT017
50.04628, 19.92484, RPT018
50.04613, 19.92498, RPT019
50.04457, 19.92408, RPT020
50.04375, 19.92280, RPT021
50.03506, 19.92605, RPT022
50.03479, 19.92608, RPT023
50.03443, 19.92539, RPT024
50.03335, 19.92256, RPT025
50.03326, 19.92202, RPT026
50.03165, 19.92059, RPT027
50.02746, 19.91352, RPT028
50.02749, 19.91334, RPT029
50.00757, 19.89362, RPT030
50.00674, 19.89003, RPT031
50.00235, 19.88871, RPT032
49.99849, 19.87962, RPT033
49.98847, 19.87253, RPT034
49.98846, 19.87144, RPT035
49.98063, 19.87355, RPT036
49.97466, 19.82851, RPT037
49.97436, 19.82840, RPT038
49.97447, 19.82686, RPT039
49.97458, 19.82681, RPT040
49.97478, 19.82570, RPT041
49.97412, 19.82531, RPT042
49.97312, 19.82472, RPT043
49.93750, 19.81071, RPT044
49.93577, 19.80899, RPT045
49.93369, 19.80977, RPT046
49.92556, 19.80785, RPT047
49.91855, 19.80748, RPT048
49.91009, 19.79901, RPT049
49.90610, 19.78257, RPT050
49.90265, 19.76743, RPT051
49.89901, 19.74966, RPT052
49.89139, 19.73363, RPT053
49.86733, 19.72096, RPT054
49.86624, 19.69603, RPT055
49.85421, 19.69170, RPT056
49.84145, 19.69848, RPT057
49.84045, 19.69421, RPT058
49.83357, 19.68247, RPT059
49.83341, 19.67372, RPT060
49.83321, 19.67141, RPT061
49.82527, 19.62461, RPT062
49.82533, 19.62276, RPT063
49.78307, 19.59633, RPT064
49.77596, 19.59350, RPT065
49.76819, 19.59961, RPT066
49.76622, 19.59368, RPT067
49.75677, 19.60367, RPT068
49.75673, 19.60336, RPT069
49.74957, 19.60450, RPT070
49.74872, 19.60398, RPT071
49.74361, 19.60127, RPT072
49.74363, 19.60123, RPT073
49.74208, 19.60066, RPT074
49.74218, 19.59842, RPT075
49.74206, 19.59842, RPT076
